Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Judge of Elections,REP Judge of Elections 463 Phoenixville N-3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 467 Phoenixville M-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 467 Phoenixville M-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 468 Phoenixville M-2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 468 Phoenixville M-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 469 Phoenixville M-3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 469 Phoenixville M-3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 472 Phoenixville E-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 472 Phoenixville E-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 473 Phoenixville E-2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 473 Phoenixville E-2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 474 Phoenixville E-3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 474 Phoenixville E-3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 477 Phoenixville W-1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 477 Phoenixville W-1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 479 Phoenixville W-3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 479 Phoenixville W-3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 530 Pocopson,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 530 Pocopson,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 540 Sadsbury S,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 540 Sadsbury S,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 555 Schuylkill 2,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 555 Schuylkill 2,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 556 Schuylkill 3,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 556 Schuylkill 3,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 560 Spring City 1,Democratic,Local,1,4,
Judge of Elections,REP Judge of Elections 560 Spring City 1,Republican,Local,1,4,
Judge of Elections,DEM Judge of Elections 565 Spring City 2,Democratic,Local,1,4,
