Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Dana Dugan,DEM Member of Council Phoenixville W Ward,1,4,1
Jerry Szczepaniak,DEM Member of Council West Chester 1st Ward,1,4,1
Brian J. McGinnis,DEM Member of Council West Chester 3rd Ward,1,4,1
Stephen Marvin,DEM Member of Council West Chester 5th Ward,1,4,1
Lisa Kearns,DEM Member of Council West Chester 7th Ward,1,4,1
Lisa Bryan-Conforti,DEM Member of Council West Chester 7th Ward,1,4,2
John McDonald,REP Member of Council West Chester 1st Ward,1,4,1
Elea McDonnell Feit,DEM Member of Council Unexpired 2 Year Term Kennett Square Borough,1,2,1
Susan F. Rzucidlo,DEM Mayor Avondale Borough,1,4,1
Erica Deuso,DEM Mayor Downingtown Borough,1,4,1
Barry Cassidy,DEM Mayor Downingtown Borough,1,4,2
Matthew Fetick,DEM Mayor Kennett Square Borough,1,4,1
Zeyn B. Uzman,DEM Mayor Malvern Borough,1,4,1
Pete Papadopoulos,DEM Mayor Malvern Borough,1,4,2
John P. Hagan II,DEM Mayor Parkesburg Borough,1,4,1
Peter Urscheler,DEM Mayor Phoenixville Borough,1,4,1
Henry A. Carey,DEM Mayor S Coatesville Borough,1,4,1
Adam Alberico,DEM Mayor Spring City Borough,1,4,1
Lillian L. DeBaptiste,DEM Mayor West Chester Borough,1,4,1
Rich Bryant,REP Mayor Downingtown Borough,1,4,1
Cynthia L. Franchitti,REP Mayor Elverson Borough,1,4,1
Matthew Halvorsen,REP Mayor Honey Brook Borough,1,4,1
"Leon R. Spencer, Jr.",REP Mayor Kennett Square Borough,1,4,1
Philip Harris,REP Mayor Oxford Borough,1,4,1
Gina Aiello,REP Mayor Spring City Borough,1,4,1
Stephen Black,REP Mayor W Grove Borough,1,4,1
Illeana M. Casiano-Vazquez,DEM Township Supervisor E Coventry Township,2,6,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Meaghan G Wright,DEM Township Supervisor E Coventry Township,2,6,2
Katja DiRado,DEM Township Supervisor E Fallowfield Township,2,6,1
John Nielsen,DEM Township Supervisor E Fallowfield Township,2,6,2
Fran Pani Martin,DEM Township Supervisor E Fallowfield Township,2,6,3
Larry Massaro,DEM Township Supervisor E Goshen Township,2,6,1
Ann J. Duffied,DEM Township Supervisor E Goshen Township,2,6,2
Chris Manning,DEM Township Supervisor E Marlborough Township,2,6,1
Steven Peuquet,DEM Township Supervisor E Marlborough Township,2,6,2
Nancy Widdoes,DEM Township Supervisor Franklin Township,2,6,1
Kristie Lynn Brodowski,DEM Township Supervisor New Garden Township,2,6,1
David G. Unger,DEM Township Supervisor New Garden Township,2,6,2
Victor S. Mantegna,DEM Township Supervisor Penn Township,2,6,1
Dwayne Degler,DEM Township Supervisor Penn Township,2,6,2
Donald Slesinski,DEM Township Supervisor Penn Township,2,6,3
John Kiernan,DEM Township Supervisor Schuylkill Township,2,6,1
Bob Cooney,DEM Township Supervisor Schuylkill Township,2,6,2
Devin Hager,DEM Township Supervisor Schuylkill Township,2,6,3
Andrew R. Jacob,DEM Township Supervisor Schuylkill Township,2,6,4
Bryan Maher,DEM Township Supervisor W Pikeland Township,2,6,1
Shawn Blickley,REP Township Supervisor E Coventry Township,2,6,1
Peter Price,REP Township Supervisor E Coventry Township,2,6,2
Michael William Petro,REP Township Supervisor E Fallowfield Township,2,6,1
Clare Small-McEvoy,REP Township Supervisor E Fallowfield Township,2,6,2
John F. Hertzog,REP Township Supervisor E Goshen Township,2,6,1
Michele Truitt,REP Township Supervisor E Goshen Township,2,6,2
Anteia Consorto,REP Township Supervisor Franklin Township,2,6,1
Stephen Zurl,REP Township Supervisor London Grove Township,2,6,1
Jonathan McGrath,REP Township Supervisor London Grove Township,2,6,2
Andy Bowman,REP Township Supervisor London Grove Township,2,6,3
Michael Norris,REP Township Supervisor New Garden Township,2,6,1
Kathy Lewy,REP Township Supervisor New Garden Township,2,6,2
Jakob D. Moore,REP Township Supervisor Penn Township,2,6,1
James Benoit,REP Township Supervisor Thornbury Township,2,6,1
Paul Manidis,REP Township Supervisor Thornbury Township,2,6,2
Robert C. Wiggins,REP Township Supervisor Thornbury Township,2,6,3
Jeffrey A. Kern,REP Township Supervisor W Pikeland Township,2,6,1
Harold M. Hallman III,REP Township Supervisor W Pikeland Township,2,6,2
David Miller,DEM Township Supervisor At Large Tredyffrin Township,2,4,1
Hans van Mol,DEM Township Supervisor At Large Tredyffrin Township,2,4,2
Kristin Robie,REP Township Supervisor At Large Tredyffrin Township,2,4,1
Elizabeth Mercogliano,REP Township Supervisor At Large Tredyffrin Township,2,4,2
Hugh D. Willig,DEM Township Supervisor Charlestown Township,1,6,1
Debbie Maynard,DEM Township Supervisor E Bradford Township,1,6,1
Emily Keller,DEM Township Supervisor E Brandywine Township,1,6,1
Tyler Wren,DEM Township Supervisor E Nantmeal Township,1,6,1
Amanda Woolston,DEM Township Supervisor E Nottingham Township,1,6,1
Vincent J. Morello,DEM Township Supervisor E Pikeland Township,1,6,1
Clinton Smith,DEM Township Supervisor E Whiteland Township,1,6,1
Don Ash,DEM Township Supervisor East Caln Township,1,6,1
Michael Wacey,DEM Township Supervisor Easttown Township,1,6,1
Mike Bailey,DEM Township Supervisor Kennett Township,1,6,1
Brian Sachs,DEM Township Supervisor London Britain Township,1,6,1
Noël Roy,DEM Township Supervisor Lower Oxford Township,1,6,1
Chad Ezra Dudonis,DEM Township Supervisor N Coventry Township,1,6,1
Mary Anne Steel,DEM Township Supervisor New London Township,1,6,1
James H. Cornell,DEM Township Supervisor Newlin Township,1,6,1
Sandra Retzlaff,DEM Township Supervisor Pocopson Township,1,6,1
Jennifer Baxter,DEM Township Supervisor Upper Uwchlan Township,1,6,1
Larasz Moody,DEM Township Supervisor Uwchlan Township,1,6,1
Sharon Yates,DEM Township Supervisor Valley Township,1,6,1
Kevin Houghton,DEM Township Supervisor W Bradford Township,1,6,1
Jerome Liss,DEM Township Supervisor W Fallowfield Township,1,6,1
Ashley Gagne,DEM Township Supervisor W Goshen Township,1,6,1
Donna Crosson,DEM Township Supervisor W Nottingham Township,1,6,1
Sean D. Clark,DEM Township Supervisor W Vincent Township,1,6,1
Matt McCarry,DEM Township Supervisor Willistown Township,1,6,1
Scott C. Boorse,REP Township Supervisor Birmingham Township,1,6,1
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
John D. Snook,REP Township Supervisor E Bradford Township,1,6,1
Carl K. Croft,REP Township Supervisor E Brandywine Township,1,6,1
Kevin John Tryniszewski,REP Township Supervisor E Nantmeal Township,1,6,1
P. David Smoker,REP Township Supervisor E Nottingham Township,1,6,1
Blaine A. Huey,REP Township Supervisor E Pikeland Township,1,6,1
Mike Layne,REP Township Supervisor E Pikeland Township,1,6,2
Dana L. Ciaffone,REP Township Supervisor E Vincent Township,1,6,1
"George J. Sabo, Jr.",REP Township Supervisor E Whiteland Township,1,6,1
Michael DiDomenico,REP Township Supervisor Easttown Township,1,6,1
Milt Rudy,REP Township Supervisor Elk Township,1,6,1
Thomas Scott,REP Township Supervisor Highland Township,1,6,1
Valerie Shultz,REP Township Supervisor Honey Brook Township,1,6,1
Steven Jones,REP Township Supervisor Honey Brook Township,1,6,2
Boyd Presnell,REP Township Supervisor Kennett Township,1,6,1
Gene Wier,REP Township Supervisor Londonderry Township,1,6,1
Jim Marks,REP Township Supervisor N Coventry Township,1,6,1
Kay Ellsworth,REP Township Supervisor Pennsbury Township,1,6,1
Andrea Gosselin,REP Township Supervisor Pocopson Township,1,6,1
William Nesley,REP Township Supervisor S Coventry Township,1,6,1
"Andrew J. Sciarretta, Sr.",REP Township Supervisor Sadsbury Township,1,6,1
Scott Rugen,REP Township Supervisor Upper Oxford Township,1,6,1
Joseph Edwards,REP Township Supervisor W Brandywine Township,1,6,1
Curtis G. King,REP Township Supervisor W Fallowfield Township,1,6,1
Brandon Drobenak,REP Township Supervisor W Goshen Township,1,6,1
"William W. Wylie, Jr.",REP Township Supervisor W Marlborough Township,1,6,1
Nelson R. Beam,REP Township Supervisor W Nantmeal Township,1,6,1
Andrew J. Marker,REP Township Supervisor W Nottingham Township,1,6,1
John J. Keesey,REP Township Supervisor W Sadsbury Township,1,6,1
Mervin L. Engel,REP Township Supervisor W Sadsbury Township,1,6,2
Gern W. Jaeger III,REP Township Supervisor W Vincent Township,1,6,1
"Craig S. Karkoska, Sr.",REP Township Supervisor W Vincent Township,1,6,2
John J. Curran,REP Township Supervisor W Whiteland Township,1,6,1
John C. Thomas,REP Township Supervisor Wallace Township,1,6,1
Eric Sydlosky,REP Township Supervisor Warwick Township,1,6,1
Todd Verrecchia,REP Township Supervisor Warwick Township,1,6,2
Allen Martin,REP Township Supervisor West Caln Township,1,6,1
Sally Mininger,REP Township Supervisor West Caln Township,1,6,2
Joe Hutton,REP Township Supervisor West Caln Township,1,6,3
Jeff Clark,REP Township Supervisor Westtown Township,1,6,1
Robert T. Lange,REP Township Supervisor Willistown Township,1,6,1
Rick Gordon,REP Township Supervisor Willistown Township,1,6,2
Eamon C. Brazunas,DEM Township Supervisor Tredyffrin 2nd Dist,1,4,1
